Rótulo,Dirección,Precio,date
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.099,20220614
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.109,20220615
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.129,20220616
REPSOL,"CR CM-412, 84,8, VALDEPEÑAS",2.149,20220617
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.049,20220609
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.049,20220610
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.049,20220611
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.079,20220614
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.079,20220615
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.109,20220616
SHELL,"AUTOVIA A-4 km 191,536, VALDEPEÑAS",2.109,20220617
